Order_ID,Order_Date,Ship_Date,Ship Mode,Segment,City,State,Region,Category,Sales
US-2016-134026,26/04/2016,2/5/2016,Standard Class,Consumer,Memphis,Tennessee,South,Furniture,97.04
US-2016-134026,26/04/2016,2/5/2016,Standard Class,Consumer,Memphis,Tennessee,South,Office Supplies,72.784
US-2018-118038,9/12/2018,11/12/2018,First Class,Corporate,Houston,Texas,Central,Office Supplies,1.248
US-2018-118038,9/12/2018,11/12/2018,First Class,Corporate,Houston,Texas,Central,Furniture,9.708
US-2018-118038,9/12/2018,11/12/2018,First Class,Corporate,Houston,Texas,Central,Office Supplies,27.24
US-2015-147606,26/11/2015,1/12/2015,Second Class,Consumer,Houston,Texas,Central,Furniture,19.3
CA-2017-127208,12/6/2017,15/06/2017,First Class,Corporate,Decatur,Alabama,South,Office Supplies,208.16
CA-2017-127208,12/6/2017,15/06/2017,First Class,Corporate,Decatur,Alabama,South,Office Supplies,16.74
CA-2015-139451,12/10/2015,16/10/2015,Standard Class,Consumer,San Francisco,California,West,Office Supplies,14.9
CA-2015-139451,12/10/2015,16/10/2015,Standard Class,Consumer,San Francisco,California,West,Office Supplies,21.39
CA-2016-149734,3/9/2016,8/9/2016,Standard Class,Corporate,Durham,North Carolina,South,Office Supplies,200.984
US-2018-119662,13/11/2018,16/11/2018,First Class,Home Office,Chicago,Illinois,Central,Office Supplies,230.376
CA-2018-140088,28/05/2018,30/05/2018,Second Class,Consumer,Columbia,South Carolina,South,Furniture,301.96
CA-2018-155558,26/10/2018,2/11/2018,Standard Class,Consumer,Rochester,Minnesota,Central,Technology,19.99
CA-2018-155558,26/10/2018,2/11/2018,Standard Class,Consumer,Rochester,Minnesota,Central,Office Supplies,6.16
CA-2017-159695,5/4/2017,10/4/2017,Second Class,Home Office,Houston,Texas,Central,Office Supplies,158.368
CA-2017-109806,17/09/2017,22/09/2017,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,20.1
CA-2017-109806,17/09/2017,22/09/2017,Standard Class,Corporate,Los Angeles,California,West,Technology,73.584
CA-2017-109806,17/09/2017,22/09/2017,Standard Class,Corporate,Los Angeles,California,West,Office Supplies,6.48
CA-2016-149587,31/01/2016,5/2/2016,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,12.96
CA-2016-149587,31/01/2016,5/2/2016,Second Class,Consumer,Minneapolis,Minnesota,Central,Furniture,53.34
CA-2016-149587,31/01/2016,5/2/2016,Second Class,Consumer,Minneapolis,Minnesota,Central,Office Supplies,32.96
US-2018-109484,6/11/2018,12/11/2018,Standard Class,Home Office,Portland,Oregon,West,Office Supplies,5.682
CA-2018-161018,9/11/2018,11/11/2018,Second Class,Home Office,New York City,New York,East,Furniture,96.53
CA-2018-157833,17/06/2018,20/06/2018,First Class,Consumer,San Francisco,California,West,Office Supplies,51.312
CA-2017-149223,6/9/2017,11/9/2017,Standard Class,Corporate,Saint Paul,Minnesota,Central,Office Supplies,77.88
CA-2017-158568,29/08/2017,2/9/2017,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,64.624
CA-2017-158568,29/08/2017,2/9/2017,Standard Class,Home Office,Chicago,Illinois,Central,Technology,95.976
CA-2017-158568,29/08/2017,2/9/2017,Standard Class,Home Office,Chicago,Illinois,Central,Office Supplies,1.788
CA-2017-129903,1/12/2017,4/12/2017,Second Class,Consumer,Rochester,Minnesota,Central,Office Supplies,23.92
US-2016-156867,13/11/2016,17/11/2016,Standard Class,Consumer,Aurora,Colorado,West,Technology,238.896
US-2016-156867,13/11/2016,17/11/2016,Standard Class,Consumer,Aurora,Colorado,West,Furniture,102.36
US-2016-156867,13/11/2016,17/11/2016,Standard Class,Consumer,Aurora,Colorado,West,Office Supplies,36.882
CA-2018-119004,23/11/2018,28/11/2018,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,74.112
CA-2018-119004,23/11/2018,28/11/2018,Standard Class,Consumer,Charlotte,North Carolina,South,Technology,27.992
CA-2018-119004,23/11/2018,28/11/2018,Standard Class,Consumer,Charlotte,North Carolina,South,Office Supplies,3.304
CA-2016-129476,15/10/2016,20/10/2016,Standard Class,Home Office,Orland Park,Illinois,Central,Technology,339.96
CA-2018-146780,25/12/2018,30/12/2018,Standard Class,Corporate,New York City,New York,East,Furniture,41.96
CA-2017-128867,3/11/2017,10/11/2017,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,75.96
CA-2017-128867,3/11/2017,10/11/2017,Standard Class,Consumer,Urbandale,Iowa,Central,Office Supplies,27.24
CA-2015-115259,25/08/2015,27/08/2015,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,40.096
CA-2015-115259,25/08/2015,27/08/2015,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,4.72
CA-2015-115259,25/08/2015,27/08/2015,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,23.976
CA-2015-115259,25/08/2015,27/08/2015,Second Class,Consumer,Columbus,Ohio,East,Office Supplies,130.464
CA-2016-110457,2/3/2016,6/3/2016,Standard Class,Consumer,Seattle,Washington,West,Furniture,787.53
US-2016-136476,5/4/2016,10/4/2016,Standard Class,Corporate,Bristol,Tennessee,South,Office Supplies,157.794
CA-2017-103730,12/6/2017,15/06/2017,First Class,Consumer,Wilmington,Delaware,East,Furniture,47.04
CA-2017-103730,12/6/2017,15/06/2017,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,30.84
CA-2017-103730,12/6/2017,15/06/2017,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,226.56
CA-2017-103730,12/6/2017,15/06/2017,First Class,Consumer,Wilmington,Delaware,East,Office Supplies,115.02
CA-2017-103730,12/6/2017,15/06/2017,First Class,Consumer,Wilmington,Delaware,East,Technology,68.04
US-2015-152030,26/12/2015,28/12/2015,Second Class,Home Office,Houston,Texas,Central,Furniture,600.558
US-2015-134614,20/09/2015,25/09/2015,Standard Class,Consumer,Bloomington,Illinois,Central,Furniture,617.7
US-2018-107272,5/11/2018,12/11/2018,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,2.388
US-2018-107272,5/11/2018,12/11/2018,Standard Class,Consumer,Phoenix,Arizona,West,Office Supplies,243.992
US-2017-125969,6/11/2017,10/11/2017,Second Class,Home Office,Los Angeles,California,West,Furniture,81.424
US-2017-125969,6/11/2017,10/11/2017,Second Class,Home Office,Los Angeles,California,West,Furniture,238.56
US-2018-164147,2/2/2018,5/2/2018,First Class,Corporate,Columbus,Ohio,East,Technology,59.97
US-2018-164147,2/2/2018,5/2/2018,First Class,Corporate,Columbus,Ohio,East,Office Supplies,78.304
US-2018-164147,2/2/2018,5/2/2018,First Class,Corporate,Columbus,Ohio,East,Office Supplies,21.456
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Consumer,Roseville,California,West,Office Supplies,20.04
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Consumer,Roseville,California,West,Office Supplies,35.44
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Consumer,Roseville,California,West,Office Supplies,11.52
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Consumer,Roseville,California,West,Office Supplies,4.02
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Consumer,Roseville,California,West,Office Supplies,76.176
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Consumer,Roseville,California,West,Office Supplies,65.88
CA-2017-145583,13/10/2017,19/10/2017,Standard Class,Consumer,Roseville,California,West,Furniture,43.12
CA-2017-110366,5/9/2017,7/9/2017,Second Class,Corporate,Philadelphia,Pennsylvania,East,Furniture,82.8
CA-2018-106180,18/09/2018,23/09/2018,Standard Class,Corporate,San Francisco,California,West,Office Supplies,8.82
CA-2018-106180,18/09/2018,23/09/2018,Standard Class,Corporate,San Francisco,California,West,Office Supplies,10.86
CA-2018-106180,18/09/2018,23/09/2018,Standard Class,Corporate,San Francisco,California,West,Office Supplies,143.7
CA-2018-155376,22/12/2018,27/12/2018,Standard Class,Consumer,Independence,Missouri,Central,Office Supplies,839.43
CA-2016-110744,7/9/2016,12/9/2016,Standard Class,Consumer,Pasadena,California,West,Office Supplies,671.93
CA-2015-110072,22/10/2015,28/10/2015,Standard Class,Home Office,Newark,Ohio,East,Furniture,93.888
CA-2017-114489,5/12/2017,9/12/2017,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,384.45
CA-2017-114489,5/12/2017,9/12/2017,Standard Class,Corporate,Franklin,Wisconsin,Central,Technology,149.97
CA-2017-114489,5/12/2017,9/12/2017,Standard Class,Corporate,Franklin,Wisconsin,Central,Furniture,1951.84
CA-2017-114489,5/12/2017,9/12/2017,Standard Class,Corporate,Franklin,Wisconsin,Central,Office Supplies,171.55
CA-2017-158834,13/03/2017,16/03/2017,First Class,Home Office,Scottsdale,Arizona,West,Office Supplies,157.92
CA-2017-158834,13/03/2017,16/03/2017,First Class,Home Office,Scottsdale,Arizona,West,Technology,203.184
CA-2016-124919,31/05/2016,2/6/2016,First Class,Corporate,San Jose,California,West,Office Supplies,58.38
CA-2016-124919,31/05/2016,2/6/2016,First Class,Corporate,San Jose,California,West,Office Supplies,105.52
CA-2016-124919,31/05/2016,2/6/2016,First Class,Corporate,San Jose,California,West,Office Supplies,80.88
CA-2016-118948,28/05/2016,3/6/2016,Standard Class,Home Office,Seattle,Washington,West,Office Supplies,6.63
CA-2015-104269,1/3/2015,6/3/2015,Second Class,Consumer,Seattle,Washington,West,Furniture,457.568
CA-2017-114104,20/11/2017,24/11/2017,Standard Class,Consumer,Edmond,Oklahoma,Central,Office Supplies,14.62
CA-2017-114104,20/11/2017,24/11/2017,Standard Class,Consumer,Edmond,Oklahoma,Central,Technology,944.93
CA-2017-162733,11/5/2017,12/5/2017,First Class,Consumer,Los Angeles,California,West,Office Supplies,5.98
CA-2016-119697,28/12/2016,31/12/2016,Second Class,Consumer,Philadelphia,Pennsylvania,East,Technology,54.384
CA-2017-154508,16/11/2017,20/11/2017,Standard Class,Consumer,Carlsbad,New Mexico,West,Office Supplies,28.4
CA-2017-113817,7/11/2017,11/11/2017,Standard Class,Consumer,Seattle,Washington,West,Office Supplies,27.68
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,9.936
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,Consumer,San Antonio,Texas,Central,Technology,8159.952
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,275.928
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,Consumer,San Antonio,Texas,Central,Furniture,1740.06
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,32.064
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,Consumer,San Antonio,Texas,Central,Office Supplies,177.98
CA-2015-139892,8/9/2015,12/9/2015,Standard Class,Consumer,San Antonio,Texas,Central,Technology,143.976
CA-2015-118962,5/8/2015,9/8/2015,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,20.94
CA-2015-118962,5/8/2015,9/8/2015,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,110.96
CA-2015-118962,5/8/2015,9/8/2015,Standard Class,Consumer,Los Angeles,California,West,Furniture,340.144
US-2015-100853,14/09/2015,19/09/2015,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,52.448
US-2015-100853,14/09/2015,19/09/2015,Standard Class,Corporate,Chicago,Illinois,Central,Office Supplies,20.16
US-2018-152366,21/04/2018,25/04/2018,Second Class,Consumer,Houston,Texas,Central,Office Supplies,97.264
US-2016-101511,21/11/2016,23/11/2016,Second Class,Consumer,Newark,Ohio,East,Furniture,396.802
US-2016-101511,21/11/2016,23/11/2016,Second Class,Consumer,Newark,Ohio,East,Office Supplies,15.88
CA-2016-137225,15/12/2016,19/12/2016,Standard Class,Home Office,New York City,New York,East,Office Supplies,3.28
CA-2015-166191,5/12/2015,9/12/2015,Second Class,Corporate,Decatur,Illinois,Central,Office Supplies,24.816
CA-2015-166191,5/12/2015,9/12/2015,Second Class,Corporate,Decatur,Illinois,Central,Technology,408.744
CA-2015-158274,19/11/2015,24/11/2015,Second Class,Home Office,Monroe,Louisiana,South,Technology,503.96
CA-2015-158274,19/11/2015,24/11/2015,Second Class,Home Office,Monroe,Louisiana,South,Technology,149.95
CA-2015-158274,19/11/2015,24/11/2015,Second Class,Home Office,Monroe,Louisiana,South,Technology,29
CA-2017-105018,28/11/2017,2/12/2017,Standard Class,Consumer,Fairfield,Connecticut,East,Office Supplies,7.16
CA-2015-123260,26/08/2015,30/08/2015,Standard Class,Home Office,Los Angeles,California,West,Technology,176.8
CA-2017-157000,16/07/2017,22/07/2017,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,37.224
CA-2017-157000,16/07/2017,22/07/2017,Standard Class,Corporate,Grand Prairie,Texas,Central,Office Supplies,20.016
CA-2016-102281,12/10/2016,14/10/2016,First Class,Home Office,New York City,New York,East,Furniture,899.136
CA-2016-102281,12/10/2016,14/10/2016,First Class,Home Office,New York City,New York,East,Technology,71.76
CA-2016-102281,12/10/2016,14/10/2016,First Class,Home Office,New York City,New York,East,Office Supplies,51.84
CA-2016-102281,12/10/2016,14/10/2016,First Class,Home Office,New York City,New York,East,Furniture,626.352
CA-2016-102281,12/10/2016,14/10/2016,First Class,Home Office,New York City,New York,East,Office Supplies,19.9
CA-2016-131457,31/10/2016,6/11/2016,Standard Class,Corporate,Redlands,California,West,Office Supplies,14.28
CA-2015-140004,21/03/2015,25/03/2015,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,7.408
CA-2015-140004,21/03/2015,25/03/2015,Standard Class,Consumer,Hamilton,Ohio,East,Office Supplies,6.048
CA-2018-107720,6/11/2018,13/11/2018,Standard Class,Home Office,Westfield,New Jersey,East,Office Supplies,46.26
US-2018-124303,6/7/2018,13/07/2018,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,2.946
US-2018-124303,6/7/2018,13/07/2018,Standard Class,Corporate,Philadelphia,Pennsylvania,East,Office Supplies,16.056
CA-2018-105074,24/06/2018,29/06/2018,Standard Class,Consumer,Akron,Ohio,East,Office Supplies,21.744
CA-2015-133690,3/8/2015,5/8/2015,First Class,Consumer,Denver,Colorado,West,Furniture,218.75
CA-2015-133690,3/8/2015,5/8/2015,First Class,Consumer,Denver,Colorado,West,Office Supplies,2.6
US-2018-116701,17/12/2018,21/12/2018,Second Class,Consumer,Dallas,Texas,Central,Office Supplies,66.284
CA-2018-126382,3/6/2018,7/6/2018,Standard Class,Corporate,Franklin,Tennessee,South,Furniture,35.168
CA-2018-108329,9/12/2018,14/12/2018,Standard Class,Consumer,Whittier,California,West,Technology,444.768
CA-2018-135860,1/12/2018,7/12/2018,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,83.92
CA-2018-135860,1/12/2018,7/12/2018,Standard Class,Consumer,Saginaw,Michigan,Central,Technology,131.98
CA-2018-135860,1/12/2018,7/12/2018,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,15.92
CA-2018-135860,1/12/2018,7/12/2018,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,52.29
CA-2018-135860,1/12/2018,7/12/2018,Standard Class,Consumer,Saginaw,Michigan,Central,Office Supplies,91.99
CA-2016-101007,9/2/2016,13/02/2016,Second Class,Corporate,Dallas,Texas,Central,Technology,20.8
CA-2016-146262,2/1/2016,9/1/2016,Standard Class,Corporate,Medina,Ohio,East,Office Supplies,23.68
CA-2016-146262,2/1/2016,9/1/2016,Standard Class,Corporate,Medina,Ohio,East,Furniture,452.45
CA-2016-146262,2/1/2016,9/1/2016,Standard Class,Corporate,Medina,Ohio,East,Technology,62.982
CA-2016-146262,2/1/2016,9/1/2016,Standard Class,Corporate,Medina,Ohio,East,Technology,1188
CA-2016-146262,2/1/2016,9/1/2016,Standard Class,Corporate,Medina,Ohio,East,Technology,89.584
CA-2017-130162,28/10/2017,1/11/2017,Standard Class,Consumer,Los Angeles,California,West,Office Supplies,93.06
CA-2017-130162,28/10/2017,1/11/2017,Standard Class,Consumer,Los Angeles,California,West,Technology,302.376
CA-2016-169397,24/12/2016,27/12/2016,First Class,Consumer,Dublin,Ohio,East,Office Supplies,5.584
CA-2016-169397,24/12/2016,27/12/2016,First Class,Consumer,Dublin,Ohio,East,Office Supplies,22.704
CA-2016-169397,24/12/2016,27/12/2016,First Class,Consumer,Dublin,Ohio,East,Office Supplies,19.776
CA-2016-169397,24/12/2016,27/12/2016,First Class,Consumer,Dublin,Ohio,East,Furniture,72.704
CA-2016-169397,24/12/2016,27/12/2016,First Class,Consumer,Dublin,Ohio,East,Technology,479.988
CA-2016-169397,24/12/2016,27/12/2016,First Class,Consumer,Dublin,Ohio,East,Office Supplies,27.168
CA-2016-163055,9/8/2016,16/08/2016,Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,2.2
CA-2016-163055,9/8/2016,16/08/2016,Standard Class,Corporate,Detroit,Michigan,Central,Furniture,622.45
CA-2016-163055,9/8/2016,16/08/2016,Standard Class,Corporate,Detroit,Michigan,Central,Office Supplies,21.98
US-2016-145436,28/02/2016,4/3/2016,Standard Class,Consumer,Columbia,Tennessee,South,Furniture,161.568
US-2016-145436,28/02/2016,4/3/2016,Standard Class,Consumer,Columbia,Tennessee,South,Furniture,389.696
US-2015-156216,13/09/2015,17/09/2015,Standard Class,Corporate,Charlotte,North Carolina,South,Office Supplies,18.648
US-2018-100930,7/4/2018,12/4/2018,Standard Class,Home Office,Tampa,Florida,South,Furniture,233.86
US-2018-100930,7/4/2018,12/4/2018,Standard Class,Home Office,Tampa,Florida,South,Furniture,620.6145
US-2018-100930,7/4/2018,12/4/2018,Standard Class,Home Office,Tampa,Florida,South,Office Supplies,5.328
US-2018-100930,7/4/2018,12/4/2018,Standard Class,Home Office,Tampa,Florida,South,Furniture,258.072
US-2018-100930,7/4/2018,12/4/2018,Standard Class,Home Office,Tampa,Florida,South,Technology,617.976
CA-2018-160514,12/11/2018,16/11/2018,Standard Class,Corporate,Santa Clara,California,West,Office Supplies,10.56
CA-2017-157749,4/6/2017,9/6/2017,Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,25.92
CA-2017-157749,4/6/2017,9/6/2017,Second Class,Consumer,Chicago,Illinois,Central,Furniture,419.68
CA-2017-157749,4/6/2017,9/6/2017,Second Class,Consumer,Chicago,Illinois,Central,Furniture,11.688
CA-2017-157749,4/6/2017,9/6/2017,Second Class,Consumer,Chicago,Illinois,Central,Technology,31.984
CA-2017-157749,4/6/2017,9/6/2017,Second Class,Consumer,Chicago,Illinois,Central,Furniture,177.225
CA-2017-157749,4/6/2017,9/6/2017,Second Class,Consumer,Chicago,Illinois,Central,Furniture,4.044
CA-2017-157749,4/6/2017,9/6/2017,Second Class,Consumer,Chicago,Illinois,Central,Office Supplies,7.408
CA-2015-131926,1/6/2015,6/6/2015,Second Class,Home Office,Lakeville,Minnesota,Central,Furniture,2001.86
CA-2015-131926,1/6/2015,6/6/2015,Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,166.72
CA-2015-131926,1/6/2015,6/6/2015,Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,47.88
CA-2015-131926,1/6/2015,6/6/2015,Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,1503.25
CA-2015-131926,1/6/2015,6/6/2015,Second Class,Home Office,Lakeville,Minnesota,Central,Office Supplies,25.92
CA-2017-154739,10/12/2017,15/12/2017,Second Class,Consumer,San Francisco,California,West,Furniture,321.568
